S 31
L 1
B 9
C 278
28.4157 -176.999 -341.243
27.3671 -176.879 -338.694
27.1408 -176.827 -338.17
26.2502 -176.422 -336.316
24.8207 -175.842 -333.364
24.5402 -175.686 -332.815
23.8127 -175.308 -331.355
22.1749 -174.464 -328.056
21.9163 -174.358 -327.518
21.3776 -174.2 -326.372
19.8946 -173.371 -323.471
19.6442 -173.233 -322.979
19.0261 -173.055 -321.532
17.9827 -172.981 -318.586
17.8112 -172.948 -318.113
17.1996 -172.466 -316.776
16.022 -171.968 -313.969
15.8418 -171.89 -313.549
15.2214 -171.52 -312.287
13.4897 -170.328 -308.948
13.2561 -170.171 -308.495
12.6302 -169.971 -307.153
11.1962 -169.307 -304.231
11.0248 -169.232 -303.851
10.5329 -168.914 -302.543
9.07106 -167.915 -298.754
8.91188 -167.81 -298.342
8.45899 -167.542 -297.308
6.94541 -166.699 -294.028
6.79789 -166.624 -293.704
6.25014 -166.386 -292.525
4.36178 -165.025 -288.934
4.19995 -164.912 -288.62
3.78607 -164.87 -287.61
2.43389 -164.302 -283.974
2.33224 -164.254 -283.701
1.96671 -164.055 -282.763
0.568582 -163.03 -279.259
0.481089 -162.967 -279.04
-0.0082202 -162.611 -278.007
-1.47457 -161.912 -274.692
-1.54826 -161.876 -274.527
-2.02391 -161.535 -273.572
-3.88618 -160.266 -269.749
-3.95197 -160.222 -269.614
-4.41392 -160.015 -268.603
-5.88577 -158.55 -264.854
-5.91627 -158.52 -264.776
-6.29924 -158.335 -263.826
-7.87537 -157.307 -260.279
-7.88376 -157.301 -260.26
-8.27907 -157.08 -259.424
-10.2116 -155.634 -255.452
-12.0399 -154.828 -251.444
-12.4615 -154.615 -250.527
-13.2946 -154.246 -248.674
-14.1338 -152.725 -246.07
-14.3703 -152.474 -245.403
-15.1124 -151.904 -243.731
-16.5347 -150.966 -240.62
-16.8125 -150.802 -240.002
-17.6821 -150.035 -238.344
-18.8329 -149.634 -235.926
-19.0623 -149.517 -235.441
-19.7419 -149.067 -233.759
-20.5675 -147.729 -231.043
-20.7958 -147.415 -230.465
-21.5436 -146.932 -228.965
-23.0749 -145.932 -225.806
-23.347 -145.774 -225.234
-23.8178 -145.315 -223.961
-24.9193 -144.294 -220.846
-25.1189 -144.081 -220.304
-25.5959 -143.781 -219.128
-26.8578 -142.686 -216.192
-27.0617 -142.483 -215.687
-27.4167 -141.803 -214.428
-28.7101 -140.304 -211.485
-28.9413 -140.057 -210.965
-29.5858 -139.645 -209.522
-30.7969 -138.74 -206.817
-30.985 -138.575 -206.4
-31.5952 -138.132 -205.015
-33.1706 -137.239 -201.582
-33.3864 -137.083 -201.081
-33.7939 -136.45 -199.88
-34.7686 -134.792 -197.368
-34.9155 -134.582 -196.993
-35.5172 -133.911 -195.362
-36.8096 -132.809 -191.942
-36.9727 -132.667 -191.513
-37.4178 -132.099 -190.473
-38.6677 -130.625 -187.157
-38.8102 -130.448 -186.769
-39.3304 -130.038 -185.478
-40.5789 -128.656 -182.374
-40.7173 -128.509 -182.03
-41.1774 -128.029 -180.781
-42.3186 -126.85 -177.569
-42.4319 -126.733 -177.253
-42.8717 -126.288 -176.054
-44.4711 -124.678 -172.288
-44.603 -124.545 -171.976
-44.9555 -124.058 -170.937
-46.4658 -122.618 -167.471
-46.5717 -122.514 -167.224
-46.8686 -121.929 -166.236
-47.7741 -120.191 -163.131
-47.8286 -120.089 -162.947
-48.1686 -119.67 -161.911
-49.6889 -117.953 -158.047
-49.7567 -117.877 -157.874
-50.1429 -117.464 -156.774
-51.6826 -115.853 -153.261
-51.7299 -115.803 -153.152
-52.1092 -115.415 -152.168
-53.2623 -113.38 -148.315
-53.2804 -113.348 -148.255
-53.5209 -112.956 -147.434
-54.9328 -111.205 -143.676
-56.2225 -109.341 -139.872
-56.5406 -108.979 -138.949
-57.6309 -108.022 -136.591
-58.7929 -106.967 -133.78
-59.0035 -106.595 -133.153
-59.3188 -105.604 -131.653
-59.8166 -104.219 -129.402
-59.9835 -103.947 -128.793
-60.5876 -102.696 -127.07
-61.3646 -101.022 -124.546
-61.5678 -100.709 -123.92
-62.3493 -99.9997 -122.379
-63.6021 -98.8219 -119.046
-63.8125 -98.4954 -118.384
-64.1719 -97.5266 -116.959
-64.8131 -96.2543 -114.624
-64.9636 -96.0031 -114.072
-65.3232 -94.9378 -112.269
-66.3079 -93.173 -109.751
-66.4798 -92.8756 -109.274
-66.9568 -92.3064 -107.558
-68.4236 -90.7394 -104.231
-68.6263 -90.4312 -103.702
-68.9195 -89.5803 -102.257
-70.1708 -87.6329 -99.1731
-70.3379 -87.2844 -98.6971
-70.6027 -86.4092 -97.3219
-71.0022 -84.1241 -94.4965
-71.0929 -83.7612 -94.0603
-71.6225 -82.984 -92.6401
-72.4301 -80.7897 -89.6505
-72.5696 -80.4578 -89.2128
-73.1309 -79.7102 -87.8174
-73.9688 -77.5681 -84.701
-74.0811 -77.2388 -84.2491
-74.473 -76.2186 -83.1376
-75.4989 -74.2052 -79.8695
-75.6351 -73.9468 -79.4358
-75.8796 -73.1323 -78.2246
-76.2788 -70.7581 -75.1944
-76.3486 -70.4592 -74.8048
-76.8079 -69.7224 -73.5712
-77.8231 -68.2404 -70.5634
-77.9276 -68.0367 -70.2115
-78.1413 -66.9997 -68.9752
-79.1561 -63.4145 -65.5999
-79.2625 -63.0562 -65.2511
-79.7633 -62.1917 -64.0595
-80.559 -58.7838 -60.4622
-80.6375 -58.4756 -60.1359
-81.1637 -57.5813 -59.0402
-82.0963 -54.0113 -55.514
-82.1682 -53.7261 -55.2321
-82.4875 -52.7268 -54.1064
-83.6444 -50.0067 -50.655
-83.7201 -49.822 -50.4224
-83.8795 -48.866 -49.3657
-84.4282 -45.4116 -46.0002
-84.4572 -45.2245 -45.8178
-84.5314 -44.2178 -44.8232
-85.0234 -40.3403 -41.5749
-85.043 -40.1842 -41.4441
-85.1147 -39.1579 -40.5315
-85.3182 -35.33 -37.0289
-85.3234 -35.2315 -36.9387
-85.3494 -34.281 -36.0298
-85.4297 -30.2729 -32.5312
-85.4305 -30.2306 -32.4942
-85.4464 -29.362 -31.8024
-85.5544 -23.4225 -27.0743
C 281
92.1644 -173.356 -486.09
92.1644 -173.356 -486.09
91.8433 -173.618 -484.74
91.8433 -173.618 -484.74
91.7141 -173.754 -484.276
91.0614 -174.432 -482.009
89.6091 -174.678 -478.681
89.3354 -174.752 -477.982
88.7765 -175.118 -475.886
88.1116 -175.75 -473.086
87.9721 -175.885 -472.492
87.6509 -176.203 -471.079
86.5729 -176.087 -468.208
86.3615 -176.103 -467.627
85.761 -176.571 -465.781
84.8865 -177.338 -463.119
84.721 -177.486 -462.582
84.3898 -177.805 -461.243
83.2881 -177.741 -458.327
83.0849 -177.758 -457.774
82.512 -178.189 -456.024
81.6638 -178.905 -453.197
81.507 -179.042 -452.678
80.8703 -179.06 -451.099
79.8594 -179.338 -448.413
79.6839 -179.402 -447.936
79.0404 -179.382 -446.429
78.041 -179.553 -443.67
77.8786 -179.592 -443.198
77.2952 -179.526 -441.691
76.2688 -179.693 -438.889
